,Name,description,geometry,id
93,E01010150,Solihull 028A,POINT (-1.75556744 52.38705295),93
94,E01010142,Solihull 007B,POINT (-1.755359089 52.48127407),94
95,E01010174,Solihull 013A,POINT (-1.818805949 52.43052241),95
96,E01010225,Solihull 030C,POINT (-1.840956846 52.41069153),96
97,E01010170,Solihull 025D,POINT (-1.654541794 52.38834452),97
98,E01010167,Solihull 017D,POINT (-1.681791923 52.37136232),98
99,E01010127,Solihull 008C,POINT (-1.729212307 52.48254327),99
100,E01010195,Solihull 016A,POINT (-1.794776307 52.42117655),100
101,E01010228,Solihull 015D,POINT (-1.769237792 52.43122982),101
102,E01010138,Solihull 011E,POINT (-1.765503386 52.44949154),102
103,E01010136,Solihull 012A,POINT (-1.792941244 52.43802118),103
104,E01010222,Solihull 021D,POINT (-1.860268523 52.40565338),104
105,E01010199,Solihull 018A,POINT (-1.811886071 52.4109018),105
106,E01010185,Solihull 028C,POINT (-1.761079579 52.3711232),106
107,E01010189,Solihull 029E,POINT (-1.777964441 52.3531339),107
108,E01032886,Solihull 029G,POINT (-1.834520935 52.38566063),108
109,E01010188,Solihull 028F,POINT (-1.748961986 52.37178178),109
110,E01010173,Solihull 014B,POINT (-1.803009488 52.42589716),110
111,E01010145,Solihull 005A,POINT (-1.745549108 52.4930783),111
112,E01010123,Solihull 003C,POINT (-1.758458095 52.50232183),112
113,E01010193,Solihull 024B,POINT (-1.788824401 52.40092652),113
114,E01010155,Solihull 026E,POINT (-1.737357895 52.3937876),114
115,E01010114,Solihull 009E,POINT (-1.751244448 52.46749424),115
116,E01010156,Solihull 026F,POINT (-1.747526494 52.39025612),116
117,E01010214,Solihull 027B,POINT (-1.791379289 52.39006376),117
118,E01010202,Solihull 022B,POINT (-1.807234231 52.40669826),118
119,E01010152,Solihull 026B,POINT (-1.747939878 52.38477622),119
120,E01010134,Solihull 011C,POINT (-1.773219209 52.44868924),120
121,E01010231,Solihull 016E,POINT (-1.785407 52.42263667),121
122,E01032146,Bromsgrove 005B,POINT (-1.854673432 52.394961),122
123,E01010235,Solihull 002A,POINT (-1.749006792 52.50567803),123
124,E01009298,Birmingham 054D,POINT (-1.787487703 52.48314656),124
125,E01008947,Birmingham 122C,POINT (-1.881978997 52.40770923),125
126,E01010229,Solihull 016C,POINT (-1.792772328 52.42853432),126
127,E01010157,Solihull 010A,POINT (-1.804466658 52.44947159),127
128,E01010187,Solihull 028E,POINT (-1.765291973 52.3744505),128
129,E01010216,Solihull 027D,POINT (-1.790529415 52.38621358),129
130,E01010194,Solihull 024C,POINT (-1.780909156 52.39953808),130
131,E01010190,Solihull 024A,POINT (-1.778574778 52.40352867),131
132,E01010154,Solihull 026D,POINT (-1.744749768 52.39825716),132
133,E01010118,Solihull 001A,POINT (-1.778381025 52.50812202),133
134,E01033646,Birmingham 031I,POINT (-1.851142154 52.5179737),134
135,E01032885,Solihull 029F,POINT (-1.835624439 52.38383055),135
136,E01010227,Solihull 015C,POINT (-1.759404953 52.42103328),136
